X(m) Y(m) X_Ratio Y_Ratio Z_Ratio
542801.856200 2331418.967350 4.848861 4.912688 18.644712
543033.597900 2332003.179930 4.320716 4.695813 18.560028
542897.555180 2331662.521000 4.346459 4.949453 18.353227
542793.491940 2331404.164430 4.894330 4.926151 18.710791
542814.052730 2331456.945740 4.844317 4.940693 18.635454
542954.079830 2331810.304810 2.572021 4.924861 18.386534
542941.671140 2331785.519290 4.504592 4.938283 18.431435
543067.978270 2332107.922610 3.961670 4.670376 18.875554
542974.583740 2331872.532470 2.802094 4.913526 18.500862
542822.678470 2331493.798340 4.776751 4.946859 18.677346
542898.323000 2331689.736080 3.391168 4.973825 18.523797
543261.843990 2332632.973750 3.987793 4.316916 21.128029
543226.622310 2332550.112300 4.344503 3.950568 20.718826
543173.563960 2332408.843870 3.946012 4.294812 20.052882
543891.958980 2331878.138670 1.971197 2.611043 4.231106
543730.071780 2331495.782590 2.373335 2.993704 3.840446
543690.551510 2331548.334110 2.344576 3.121374 4.691763
543419.109860 2330943.593140 4.004123 3.429874 6.302705
543846.451170 2332195.944340 2.159821 3.288519 7.658190
543371.713870 2331020.021850 3.759907 3.527796 7.247445
543780.897710 2332085.133670 3.241333 3.290427 7.489549
543613.674560 2331965.432130 2.569336 3.214899 8.822919
543492.420170 2331743.703370 3.816223 3.567533 8.926043
543470.487300 2331895.469240 3.506075 3.623870 10.430857
543155.436520 2331194.313540 4.263264 4.040614 11.415135
543422.522950 2331882.657230 3.158645 3.739899 11.078941
543055.925540 2331200.340210 4.935038 4.238926 13.113082
543435.696780 2332201.443120 2.587998 3.940392 13.711407
543211.949710 2331726.459230 2.574294 4.245496 13.370822
543183.475590 2331892.241940 3.527222 4.317961 15.076376
542915.841310 2331234.684200 4.578459 4.497442 15.733410
543037.307620 2331557.749450 4.387846 4.532875 15.250208
542857.632320 2331148.009770 3.882801 4.619005 16.437541
543016.473630 2331556.303590 4.213147 4.579852 15.612672
542772.072510 2331239.481510 3.747623 4.820268 18.326817
542924.003910 2331638.187990 3.919527 4.881530 17.737109
542839.304930 2331471.563720 4.750319 4.899312 18.252202
542895.975100 2331637.324580 4.394051 4.928774 18.217477
542895.274410 2331651.886350 3.206368 4.946823 18.329514
542925.015870 2331757.599490 2.745166 4.992222 18.526186
542914.717770 2331745.089360 4.592741 4.975401 18.620262
542701.406010 2331233.607180 4.089301 4.980924 19.634234
543188.432860 2330978.394650 4.261098 3.887705 10.137749
543172.503170 2330969.475740 4.556170 3.911573 10.396199
543714.678470 2332366.191280 2.442311 3.417635 11.281161
543741.523190 2332478.027220 3.624169 2.975186 12.142724
543292.383060 2332165.561520 3.095170 4.079782 15.663985
543039.625000 2331632.740480 4.187161 4.595001 15.693388
542852.990970 2331196.640690 4.895658 4.576042 16.698255
542882.180660 2331282.619020 4.706515 4.666625 16.523429
542861.472170 2331289.709900 4.964436 4.712868 16.943901
542802.366940 2331153.054380 4.951770 4.715995 17.481250
542853.103760 2331291.484190 4.999870 4.730498 17.117271
542845.441160 2331283.162050 4.324409 4.728345 17.192460
542828.186520 2331258.032350 4.892802 4.737978 17.403763
542759.599370 2331135.399050 5.286747 4.785120 18.181857
542733.889160 2331243.243410 3.384320 4.898153 19.027735
543801.381350 2331636.624390 2.796538 2.841561 3.709824
543747.773680 2331592.055180 3.580890 2.950152 4.149466
543136.326900 2330989.512050 3.386473 3.972539 11.060655
543647.181880 2332475.124760 2.754484 3.446993 13.472618
543547.439700 2332255.939450 2.918139 3.677255 12.539863
542792.182620 2331218.694340 4.964197 4.762850 17.863540
542761.987790 2331149.431640 5.025429 4.778165 18.175610
542843.316890 2331472.749270 4.095845 4.885353 18.167633
542807.186770 2331462.021610 4.803507 4.942250 18.769299
542738.286870 2331351.756470 4.466809 4.987839 19.484199
542782.807860 2331482.821410 4.895133 5.006015 19.324207
543736.562740 2331686.643070 2.263180 3.007548 4.915005
543670.658200 2331651.338990 4.335647 3.102010 5.616651
543643.171630 2331592.938600 3.161839 3.204362 5.637458
543610.397710 2331584.085570 2.976808 3.288749 6.069024
543548.497070 2331535.737300 4.327170 3.432391 6.712595
543275.600830 2330945.518280 4.248442 3.662859 8.634738
543247.805420 2330964.570560 4.243173 3.715643 9.138927
542936.937500 2331065.914920 4.778357 4.345497 14.718962
542910.364990 2331092.396000 5.048857 4.401827 15.263399
543297.658940 2332167.729740 4.331366 4.160279 15.600439
542894.733640 2331256.895630 4.868531 4.636518 16.205170
542840.219240 2331585.911380 4.718679 5.003754 18.903013
542679.483890 2331212.618160 4.999426 5.029687 19.936935
543687.565190 2332375.713990 2.576862 2.940754 11.783461
543719.815920 2331671.643680 2.403163 3.063224 5.049795
543615.580810 2331448.238590 2.760147 3.274627 5.221742
543684.977780 2331639.777710 2.318088 3.073385 5.337425
543622.485600 2331524.512570 3.497152 3.233524 5.539194
543638.075680 2331583.996400 2.357637 3.198710 5.657332
543621.152830 2331582.519350 3.679303 3.301316 5.896337
543041.931150 2331043.214450 4.847660 4.148529 12.865290
542976.788820 2331048.353450 4.931992 4.273813 13.950312
543241.251460 2331727.604130 4.155011 4.184023 12.867200
543007.016850 2331133.005370 3.319560 4.275547 13.706524
542930.521240 2331500.866880 2.947860 4.752747 16.765883
542805.035160 2331204.205080 4.597336 4.745846 17.622573
542813.062740 2331269.576720 4.925959 4.773384 17.733301
542795.940190 2331229.678830 4.599192 4.775318 17.877931
542777.426270 2331258.818300 4.891349 4.828106 18.319773
542820.186280 2331463.630430 4.753775 4.947861 18.565442
542814.866940 2331458.002990 4.834182 4.923137 18.587023
542844.109620 2331515.774230 4.689839 4.930428 18.411587
542728.426510 2331204.825740 5.072636 4.898739 19.017142
542713.105960 2331192.033750 5.203178 4.929171 19.243297
543612.709470 2331266.294860 3.091771 3.112700 4.381117
543955.058110 2332148.330320 2.734524 2.812572 5.774540
543647.829590 2331398.013920 2.647597 3.107638 4.464412
543560.519780 2331180.592350 3.133529 3.187531 4.820238
543602.549070 2331312.464050 3.074530 3.160212 4.733398
543898.939700 2332076.983640 2.035805 3.140249 5.834901
543591.317380 2331343.680420 2.838987 3.208450 5.037238
543728.566650 2331718.108280 2.390316 3.060584 5.240220
543656.368410 2331574.990050 4.556231 3.264091 5.335564
543657.541500 2331593.414610 3.985380 3.167198 5.432976
543437.997310 2331022.282560 4.736906 3.417089 6.200686
543827.204590 2332058.282590 2.097622 3.005658 6.609072
543983.347410 2332439.079710 3.131190 2.986033 8.459295
543738.628170 2331842.853880 3.176983 3.048709 6.021248
543720.078610 2331802.844360 2.270594 2.980041 5.978617
543716.111080 2331797.012700 3.606160 3.011552 5.991279
543511.592290 2331288.353090 3.263522 3.379478 5.987415
543708.108400 2331818.027220 2.704423 2.984350 6.265321
543849.181880 2332174.675780 2.335190 2.821901 7.413100
543676.133790 2331786.513310 2.391332 3.087914 6.479752
543552.649900 2331469.060550 3.425280 3.352365 6.252937
543474.479740 2331265.723270 3.286288 3.454350 6.467879
543685.247310 2331819.377690 4.092085 3.289912 6.604155
543768.066650 2332072.550540 2.148553 3.057296 7.551062
543572.117680 2331575.270390 4.639323 3.439327 6.603452
543769.455080 2332084.931520 2.238053 2.792577 7.644586
543615.321290 2331699.871950 2.410849 3.264847 6.748811
543799.682130 2332191.672730 2.192969 3.131360 8.250802
543389.403810 2331156.006410 4.360135 3.550550 7.389772
543363.893310 2331087.024170 3.287768 3.617415 7.551916
543724.067870 2332030.670290 2.225783 3.463542 7.790936
543480.474850 2331414.599000 2.835714 3.536768 7.073187
543308.561770 2331006.805730 3.958161 3.613216 8.241632
543677.284670 2331967.752200 4.327378 3.289712 7.913585
543637.962890 2331873.039920 2.501035 3.261595 7.708878
543829.767330 2332359.916630 2.804355 3.408544 9.610217
543634.563230 2331874.452150 2.473934 3.241256 7.772308
543541.271480 2331649.326540 2.949245 3.426990 7.530616
543723.530030 2332115.292970 3.826374 3.507217 8.578505
543686.999510 2332034.813600 3.765461 3.284172 8.361042
543323.346680 2331121.420780 4.032671 3.646321 8.345196
543723.728030 2332154.022220 2.208167 2.916917 8.940152
543511.452390 2331616.648930 2.700574 3.532351 7.775548
543804.364500 2332492.133910 4.136225 3.755705 11.428943
